,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,LapStartTime,Team,Driver,TrackStatus,IsAccurate,LapStartDate
0,0 days 01:03:52.443000,3,,1.0,0 days 00:25:09.902000,,,0 days 00:00:29.470000,0 days 00:00:38.561000,,0 days 01:03:14.284000,0 days 01:03:52.621000,314.0,303.0,256.0,287.0,False,MEDIUM,1.0,True,1,0 days 01:02:14.632000,McLaren,RIC,26,False,2021-09-12 13:03:16.241
1,0 days 01:05:23.188000,3,0 days 00:01:30.745000,2.0,,,0 days 00:00:32.860000,0 days 00:00:29.263000,0 days 00:00:28.622000,0 days 01:04:25.303000,0 days 01:04:54.566000,0 days 01:05:23.188000,312.0,311.0,306.0,274.0,False,MEDIUM,2.0,True,1,0 days 01:03:52.443000,McLaren,RIC,67,False,2021-09-12 13:04:54.052
2,0 days 01:06:49.514000,3,0 days 00:01:26.326000,3.0,,,0 days 00:00:28.357000,0 days 00:00:29.409000,0 days 00:00:28.560000,0 days 01:05:51.545000,0 days 01:06:20.954000,0 days 01:06:49.514000,306.0,306.0,307.0,311.0,False,MEDIUM,3.0,True,1,0 days 01:05:23.188000,McLaren,RIC,1,True,2021-09-12 13:06:24.797
3,0 days 01:08:15.827000,3,0 days 00:01:26.313000,4.0,,,0 days 00:00:28.325000,0 days 00:00:29.399000,0 days 00:00:28.589000,0 days 01:07:17.839000,0 days 01:07:47.238000,0 days 01:08:15.827000,305.0,305.0,306.0,324.0,False,MEDIUM,4.0,True,1,0 days 01:06:49.514000,McLaren,RIC,1,True,2021-09-12 13:07:51.123
4,0 days 01:09:42.237000,3,0 days 00:01:26.410000,5.0,,,0 days 00:00:28.499000,0 days 00:00:29.329000,0 days 00:00:28.582000,0 days 01:08:44.326000,0 days 01:09:13.655000,0 days 01:09:42.237000,307.0,307.0,306.0,311.0,False,MEDIUM,5.0,True,1,0 days 01:08:15.827000,McLaren,RIC,1,True,2021-09-12 13:09:17.436
5,0 days 01:11:08.656000,3,0 days 00:01:26.419000,6.0,,,0 days 00:00:28.402000,0 days 00:00:29.383000,0 days 00:00:28.634000,0 days 01:10:10.639000,0 days 01:10:40.022000,0 days 01:11:08.656000,,307.0,307.0,313.0,False,MEDIUM,6.0,True,1,0 days 01:09:42.237000,McLaren,RIC,1,True,2021-09-12 13:10:43.846
6,0 days 01:12:35.129000,3,0 days 00:01:26.473000,7.0,,,0 days 00:00:28.281000,0 days 00:00:29.388000,0 days 00:00:28.804000,0 days 01:11:36.937000,0 days 01:12:06.325000,0 days 01:12:35.129000,306.0,306.0,307.0,319.0,False,MEDIUM,7.0,True,1,0 days 01:11:08.656000,McLaren,RIC,1,True,2021-09-12 13:12:10.265
7,0 days 01:14:01.918000,3,0 days 00:01:26.789000,8.0,,,0 days 00:00:28.388000,0 days 00:00:29.527000,0 days 00:00:28.874000,0 days 01:13:03.517000,0 days 01:13:33.044000,0 days 01:14:01.918000,309.0,307.0,307.0,312.0,False,MEDIUM,8.0,True,1,0 days 01:12:35.129000,McLaren,RIC,1,True,2021-09-12 13:13:36.738
8,0 days 01:15:28.358000,3,0 days 00:01:26.440000,9.0,,,0 days 00:00:28.317000,0 days 00:00:29.405000,0 days 00:00:28.718000,0 days 01:14:30.235000,0 days 01:14:59.640000,0 days 01:15:28.358000,308.0,308.0,307.0,314.0,False,MEDIUM,9.0,True,1,0 days 01:14:01.918000,McLaren,RIC,1,True,2021-09-12 13:15:03.527
9,0 days 01:16:55.081000,3,0 days 00:01:26.723000,10.0,,,0 days 00:00:28.391000,0 days 00:00:29.524000,0 days 00:00:28.808000,0 days 01:15:56.749000,0 days 01:16:26.273000,0 days 01:16:55.081000,,307.0,307.0,315.0,False,MEDIUM,10.0,True,1,0 days 01:15:28.358000,McLaren,RIC,1,True,2021-09-12 13:16:29.967
10,0 days 01:18:21.610000,3,0 days 00:01:26.529000,11.0,,,0 days 00:00:28.302000,0 days 00:00:29.499000,0 days 00:00:28.728000,0 days 01:17:23.383000,0 days 01:17:52.882000,0 days 01:18:21.610000,310.0,309.0,308.0,316.0,False,MEDIUM,11.0,True,1,0 days 01:16:55.081000,McLaren,RIC,1,True,2021-09-12 13:17:56.690
11,0 days 01:19:48.315000,3,0 days 00:01:26.705000,12.0,,,0 days 00:00:28.281000,0 days 00:00:29.667000,0 days 00:00:28.757000,0 days 01:18:49.891000,0 days 01:19:19.558000,0 days 01:19:48.315000,309.0,308.0,310.0,315.0,False,MEDIUM,12.0,True,1,0 days 01:18:21.610000,McLaren,RIC,1,True,2021-09-12 13:19:23.219
12,0 days 01:21:14.821000,3,0 days 00:01:26.506000,13.0,,,0 days 00:00:28.283000,0 days 00:00:29.455000,0 days 00:00:28.768000,0 days 01:20:16.598000,0 days 01:20:46.053000,0 days 01:21:14.821000,311.0,310.0,310.0,313.0,False,MEDIUM,13.0,True,1,0 days 01:19:48.315000,McLaren,RIC,1,True,2021-09-12 13:20:49.924
13,0 days 01:22:41.212000,3,0 days 00:01:26.391000,14.0,,,0 days 00:00:28.216000,0 days 00:00:29.492000,0 days 00:00:28.683000,0 days 01:21:43.037000,0 days 01:22:12.529000,0 days 01:22:41.212000,310.0,310.0,310.0,316.0,False,MEDIUM,14.0,True,1,0 days 01:21:14.821000,McLaren,RIC,1,True,2021-09-12 13:22:16.430
14,0 days 01:24:07.878000,3,0 days 00:01:26.666000,15.0,,,0 days 00:00:28.304000,0 days 00:00:29.627000,0 days 00:00:28.735000,0 days 01:23:09.516000,0 days 01:23:39.143000,0 days 01:24:07.878000,,309.0,310.0,315.0,False,MEDIUM,15.0,True,1,0 days 01:22:41.212000,McLaren,RIC,1,True,2021-09-12 13:23:42.821
15,0 days 01:25:34.506000,3,0 days 00:01:26.628000,16.0,,,0 days 00:00:28.343000,0 days 00:00:29.485000,0 days 00:00:28.800000,0 days 01:24:36.221000,0 days 01:25:05.706000,0 days 01:25:34.506000,,309.0,310.0,,False,MEDIUM,16.0,True,1,0 days 01:24:07.878000,McLaren,RIC,1,True,2021-09-12 13:25:09.487
16,0 days 01:27:01.071000,3,0 days 00:01:26.565000,17.0,,,0 days 00:00:28.204000,0 days 00:00:29.496000,0 days 00:00:28.865000,0 days 01:26:02.710000,0 days 01:26:32.206000,0 days 01:27:01.071000,311.0,311.0,310.0,316.0,False,MEDIUM,17.0,True,1,0 days 01:25:34.506000,McLaren,RIC,1,True,2021-09-12 13:26:36.115
17,0 days 01:28:27.988000,3,0 days 00:01:26.917000,18.0,,,0 days 00:00:28.306000,0 days 00:00:29.630000,0 days 00:00:28.981000,0 days 01:27:29.377000,0 days 01:27:59.007000,0 days 01:28:27.988000,,310.0,309.0,318.0,False,MEDIUM,18.0,True,1,0 days 01:27:01.071000,McLaren,RIC,1,True,2021-09-12 13:28:02.680
18,0 days 01:29:54.813000,3,0 days 00:01:26.825000,19.0,,,0 days 00:00:28.293000,0 days 00:00:29.659000,0 days 00:00:28.873000,0 days 01:28:56.281000,0 days 01:29:25.940000,0 days 01:29:54.813000,,310.0,310.0,,False,MEDIUM,19.0,True,1,0 days 01:28:27.988000,McLaren,RIC,1,True,2021-09-12 13:29:29.597
19,0 days 01:31:21.874000,3,0 days 00:01:27.061000,20.0,,,0 days 00:00:28.383000,0 days 00:00:29.793000,0 days 00:00:28.885000,0 days 01:30:23.196000,0 days 01:30:52.989000,0 days 01:31:21.874000,310.0,309.0,309.0,,False,MEDIUM,20.0,True,1,0 days 01:29:54.813000,McLaren,RIC,1,True,2021-09-12 13:30:56.422
20,0 days 01:32:49.209000,3,0 days 00:01:27.335000,21.0,,,0 days 00:00:28.550000,0 days 00:00:29.810000,0 days 00:00:28.975000,0 days 01:31:50.424000,0 days 01:32:20.234000,0 days 01:32:49.209000,309.0,309.0,309.0,317.0,False,MEDIUM,21.0,True,1,0 days 01:31:21.874000,McLaren,RIC,1,True,2021-09-12 13:32:23.483
21,0 days 01:34:21.272000,3,0 days 00:01:32.063000,22.0,,0 days 01:34:17.595000,0 days 00:00:28.508000,0 days 00:00:29.945000,0 days 00:00:33.610000,0 days 01:33:17.717000,0 days 01:33:47.662000,0 days 01:34:21.272000,,309.0,,,False,MEDIUM,22.0,True,1,0 days 01:32:49.209000,McLaren,RIC,1,False,2021-09-12 13:33:50.818
22,0 days 01:36:06.811000,3,0 days 00:01:45.539000,23.0,0 days 01:34:41.382000,,0 days 00:00:47.730000,0 days 00:00:29.202000,0 days 00:00:28.607000,0 days 01:35:09.002000,0 days 01:35:38.204000,0 days 01:36:06.811000,312.0,313.0,313.0,289.0,False,HARD,1.0,True,2,0 days 01:34:21.272000,McLaren,RIC,1,False,2021-09-12 13:35:22.881
23,0 days 01:37:32.848000,3,0 days 00:01:26.037000,24.0,,,0 days 00:00:28.232000,0 days 00:00:29.281000,0 days 00:00:28.524000,0 days 01:36:35.043000,0 days 01:37:04.324000,0 days 01:37:32.848000,315.0,318.0,318.0,322.0,False,HARD,2.0,True,2,0 days 01:36:06.811000,McLaren,RIC,1,True,2021-09-12 13:37:08.420
24,0 days 01:38:58.869000,3,0 days 00:01:26.021000,25.0,,,0 days 00:00:27.923000,0 days 00:00:29.472000,0 days 00:00:28.626000,0 days 01:38:00.771000,0 days 01:38:30.243000,0 days 01:38:58.869000,309.0,309.0,310.0,344.0,False,HARD,3.0,True,2,0 days 01:37:32.848000,McLaren,RIC,1,True,2021-09-12 13:38:34.457
